#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1426.54919       0.0917      -0.0550    1395.29919       0.2832      -0.0800
   1426.53393       0.1160      -0.0369    1395.28393       0.3623      -0.0371
   1426.51867       0.2721      -0.0179    1395.26867       0.3160      -0.0909
   1426.50341       0.1189       0.0216    1395.25341       0.3417      -0.0304
   1426.48815       0.1826      -0.0225    1395.23815       0.3314       0.0078
   1426.47290       0.1516      -0.0192    1395.22290       0.3349      -0.0567
   1426.45764       0.0871      -0.0324    1395.20764       0.3092      -0.0373
   1426.44238       0.1479      -0.0673    1395.19238       0.3291      -0.0530
   1426.42712       0.1200      -0.0388    1395.17712       0.2397      -0.0753
   1426.41186       0.1339      -0.0546    1395.16186       0.3501      -0.0983
   1426.39660       0.1458      -0.0480    1395.14660       0.2581      -0.0447
   1426.38134       0.2357      -0.0408    1395.13134       0.3192      -0.0910
   1426.36608       0.2240      -0.0567    1395.11608       0.3627      -0.0606
   1426.35083       0.2096      -0.0234    1395.10083       0.3795      -0.0070
   1426.33557       0.1423      -0.0501    1395.08557       0.3212      -0.0916
   1426.32031       0.1440      -0.0337    1395.07031       0.3909      -0.0153
   1426.30505       0.2213      -0.0143    1395.05505       0.3146      -0.0247
   1426.28979       0.1610      -0.0081    1395.03979       0.3169      -0.0379
   1426.27453       0.1432      -0.0110    1395.02453       0.3677      -0.0298
   1426.25927       0.1529      -0.0505    1395.00927       0.3224      -0.0321
   1426.24401       0.2550      -0.0392    1394.99401       0.3127      -0.0432
   1426.22875       0.2112      -0.0401    1394.97875       0.3490      -0.0375
   1426.21350       0.1861      -0.0018    1394.96350       0.2994      -0.0340
   1426.19824       0.1411      -0.0160    1394.94824       0.3469      -0.0308
   1426.18298       0.1417      -0.0149    1394.93298       0.3837      -0.0843
